E,pt,eta,phi
1069460.0,751597.0,0.858186,-1.84217
457647.0,110079.0,2.10287,2.17501
49649.1,30875.2,-1.03189,-1.7992
676000.0,640429.0,0.33045,0.704554
1239300.0,602104.0,1.34324,-0.550856
193865.0,44825.7,-2.14231,-0.965933
28217.2,24926.6,-0.454264,0.516676
936707.0,616229.0,0.973383,-1.56592
75998.0,52304.3,0.905489,-0.806736
640313.0,589524.0,0.390749,1.23734
332790.0,126272.0,1.61998,-1.85524
583373.0,545730.0,0.364057,-1.60732
123709.0,88206.3,0.867744,1.4266
47443.5,46891.6,-0.00150656,2.45598
91381.2,38861.6,-1.49279,-0.164922
37600.4,31288.8,0.624681,-0.910782
28297.8,26177.9,-0.371397,-2.41833
725985.0,520934.0,0.84413,0.958992
160570.0,79422.9,1.31774,3.08902
127675.0,28650.7,-2.17201,2.55359
537343.0,529153.0,0.137884,-2.33127
558479.0,300022.0,1.22869,0.900615
396737.0,309154.0,0.726839,1.14318
291455.0,234114.0,-0.685843,2.38049
125503.0,123705.0,-0.0631803,-0.190811
39267.9,37879.7,0.05628,1.41777
33299.2,27813.6,0.609665,0.457269
60190.4,25060.9,-1.51968,-0.427073
1055560.0,1052460.0,-0.0320456,-2.67977
265270.0,32603.2,2.7853,0.915776
625006.0,587880.0,0.22586,2.25768
118802.0,59376.1,1.30631,1.76663
464379.0,365191.0,-0.692061,-1.26353
242899.0,130603.0,-1.22776,-1.99661
303643.0,121020.0,1.56791,-0.618577
163165.0,37092.0,2.16014,-1.17486
44777.0,32217.0,-0.850257,2.09905
522824.0,411351.0,-0.716307,0.954073
506999.0,161394.0,1.80817,2.56868
72409.2,67555.4,-0.331235,-0.681056
483221.0,371787.0,-0.754554,2.58584
388914.0,346583.0,-0.476305,-1.09533
104482.0,100633.0,0.0515449,-0.350064
722624.0,704199.0,-0.219317,-1.96891
106984.0,71343.5,-0.957648,-2.39408
267397.0,51333.6,-2.33361,-3.02705
534575.0,529280.0,-0.111663,-1.16549
437028.0,158349.0,-1.67229,0.991625
51260.3,44105.6,0.537332,-1.60678
84372.9,43277.6,1.27981,-1.9447
456467.0,26612.2,-3.53427,1.73038
